Year	Spending Nov 1 – 26	Thanksgiving Day Spending
2014	17,273,000,000	1,009,000,000
2013	16,096,000,000	766,000,000
2012	14,266,000,000	681,000,000
2011	12,737,000,000	479,000,000
2010	11,093,000,000	407,000,000
