,"None"
N,NA
"No",72854055
"Maybe",78195840
"Yes",86413286

"<font size =2> Plan To Shop Thanksgiving Weekend - Est. # Of Adults </font> (Nov-2017)"
"Is it likely that you will go shopping Thanksgiving weekend (Thursday - Monday) either in store or online?"
"Source: Monthly Consumer Survey"
