,"Adults 18+"
N,NA
"I have already completed my holiday shopping",0.0517213
"Other (please specify)",0.0884812
"The deals aren't good enough",0.1066474
"I can get good deals all season long",0.1275068
"I never shop during Thanksgiving weekend",0.5117507
"I don't enjoy the experience",0.5243141

"<font size =2> Why Won't You Be Shopping Over Thanksgiving Weekend </font> (Nov-2017)"
"No to shopping: Why won't you be shopping over Thanksgiving weekend either in store or online? (Check all that apply)"
"Source: Monthly Consumer Survey"
