Day,Percent of people
"Monday, November 27 (Cyber Monday)",0.4760282
"Sunday, November 26",0.2135932
"Saturday, November 25",0.4332817
"Friday, November 24 (Black Friday)",0.7026269
"Thanksgiving Day, November 23",0.1945143

"<font size =2> Days Planning To Shop Adults 18+ </font> (Nov-2017)"
"Yes or Maybe to Shopping: Which of the following days do you plan to shop Thanksgiving weekend? (Check all that apply)"
"Source: Prosper Insights & Analytics™, Monthly Consumer Survey"
