,"Adults 18+"
N,NA
"Not sure",0.1277083
"Will shop ONLINE first",0.4223937
"Will shop IN STORE first",0.4498979

"<font size =2> Shop In Store Or Online First During Thanksgiving Weekend</font> (Nov-2017)"
"Yes or Maybe to shopping: Will you shop in store or will you shop online FIRST during Thanksgiving weekend?"
"Source: Monthly Consumer Survey"
