Year	In-Store Spending	Online Spending	Average Spent / Person
2015	67560000000	2932000000	403.35
2014	50900000000	1505000000	380.95
2013	57400000000	1351000000	407.23
2012	59100000000	1042000000	423
2011	52400000000	816000000	398
2010	50372000000	648000000	365
