Rank	Retailer	Keyword Bidding
1	Best Buy	95
2	Kohl's	90
3	Radio Shack	88
4	Macy's	75
5	JC Penney	70
6	Sears	65
7	Kmart	60
8	Express	50
9	Nike	45
10	Overstock.com	35

# Percent represents the number of times a buyers ad is displayed when the words "Black Friday" is searched
