Response,percentage
"Yes",0.3639018
"Maybe",0.3292967
"No",0.3068015

"<font size =2> Plan To Shop Thanksgiving Weekend </font> (Nov-2017), Adults 18+"
"Is it likely that you will go shopping Thanksgiving weekend (Thursday - Monday) either in store or online?"
"Source: Monthly Consumer Survey"
